,boxScorelink,date,game_type,opp,confLink,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,oppLink,srs,game_location
0,/cbb/boxscores/2009-11-13-montana.html,"Fri, Nov 13, 2009",REG,North Dakota,/cbb/conferences/great-west/men/2010.html,GWC,W,61,37,1,0,W 1,Dahlberg Arena,/cbb/schools/montana/men/2010.html,,,
1,/cbb/boxscores/2009-11-14-montana.html,"Sat, Nov 14, 2009",REG,Boise State,/cbb/conferences/wac/men/2010.html,WAC,W,95,82,2,0,W 2,Dahlberg Arena,/cbb/schools/montana/men/2010.html,/cbb/schools/boise-state/men/2010.html,-1.11,
2,/cbb/boxscores/2009-11-15-montana.html,"Sun, Nov 15, 2009",REG,Loyola Marymount,/cbb/conferences/wcc/men/2010.html,WCC,W,64,63,3,0,W 3,Dahlberg Arena,/cbb/schools/montana/men/2010.html,/cbb/schools/loyola-marymount/men/2010.html,-1.47,
3,/cbb/boxscores/2009-11-19-denver.html,"Thu, Nov 19, 2009",REG,Denver,/cbb/conferences/sun-belt/men/2010.html,Sun Belt,L,49,56,3,1,L 1,Magness Arena,/cbb/schools/montana/men/2010.html,/cbb/schools/denver/men/2010.html,-2.76,@
4,/cbb/boxscores/2009-11-23-oregon.html,"Mon, Nov 23, 2009",REG,Oregon,/cbb/conferences/pac-10/men/2010.html,Pac-10,W,68,55,4,1,W 1,McArthur Court,/cbb/schools/montana/men/2010.html,/cbb/schools/oregon/men/2010.html,4.00,@
5,/cbb/boxscores/2009-11-29-washington.html,"Sun, Nov 29, 2009",REG,Washington,/cbb/conferences/pac-10/men/2010.html,Pac-10,L,59,63,4,2,L 1,Bank of America Arena,/cbb/schools/montana/men/2010.html,/cbb/schools/washington/men/2010.html,15.64,@
6,/cbb/boxscores/2009-12-04-montana.html,"Fri, Dec 4, 2009",REG,Northern Arizona,/cbb/conferences/big-sky/men/2010.html,Big Sky,W,71,54,5,2,W 1,Dahlberg Arena,/cbb/schools/montana/men/2010.html,/cbb/schools/northern-arizona/men/2010.html,-7.54,
7,/cbb/boxscores/2009-12-05-montana.html,"Sat, Dec 5, 2009",REG,Northern Colorado,/cbb/conferences/big-sky/men/2010.html,Big Sky,L,48,59,5,3,L 1,Dahlberg Arena,/cbb/schools/montana/men/2010.html,/cbb/schools/northern-colorado/men/2010.html,2.06,
8,/cbb/boxscores/2009-12-10-loyola-marymount.html,"Thu, Dec 10, 2009",REG,Loyola Marymount,/cbb/conferences/wcc/men/2010.html,WCC,W,82,73,6,3,W 1,Gersten Pavilion,/cbb/schools/montana/men/2010.html,/cbb/schools/loyola-marymount/men/2010.html,-1.47,@
9,/cbb/boxscores/2009-12-12-colorado-state.html,"Sat, Dec 12, 2009",REG,Colorado State,/cbb/conferences/mwc/men/2010.html,MWC,L,61,62,6,4,L 1,Moby Arena,/cbb/schools/montana/men/2010.html,/cbb/schools/colorado-state/men/2010.html,1.35,@
10,/cbb/boxscores/2009-12-16-montana.html,"Wed, Dec 16, 2009",REG,Montana State-Northern,,,W,57,43,7,4,W 1,Dahlberg Arena,/cbb/schools/montana/men/2010.html,,,
11,/cbb/boxscores/2009-12-19-montana.html,"Sat, Dec 19, 2009",REG,UC Riverside,/cbb/conferences/big-west/men/2010.html,Big West,W,67,52,8,4,W 2,Dahlberg Arena,/cbb/schools/montana/men/2010.html,/cbb/schools/california-riverside/men/2010.html,-6.99,
12,/cbb/boxscores/2009-12-21-montana.html,"Mon, Dec 21, 2009",REG,Fresno State,/cbb/conferences/wac/men/2010.html,WAC,W,59,56,9,4,W 3,Dahlberg Arena,/cbb/schools/montana/men/2010.html,/cbb/schools/fresno-state/men/2010.html,0.14,
13,/cbb/boxscores/2009-12-23-montana.html,"Wed, Dec 23, 2009",REG,Providence (MT),,,W,100,52,10,4,W 4,Dahlberg Arena,/cbb/schools/montana/men/2010.html,,,
14,/cbb/boxscores/2009-12-31-idaho-state.html,"Thu, Dec 31, 2009",REG,Idaho State,/cbb/conferences/big-sky/men/2010.html,Big Sky,L,65,67,10,5,L 1,Holt Arena,/cbb/schools/montana/men/2010.html,/cbb/schools/idaho-state/men/2010.html,-10.29,@
15,/cbb/boxscores/2010-01-02-weber-state.html,"Sat, Jan 2, 2010",REG,Weber State,/cbb/conferences/big-sky/men/2010.html,Big Sky,L,56,64,10,6,L 2,Dee Events Center,/cbb/schools/montana/men/2010.html,/cbb/schools/weber-state/men/2010.html,3.71,@
16,/cbb/boxscores/2010-01-08-montana.html,"Fri, Jan 8, 2010",REG,Eastern Washington,/cbb/conferences/big-sky/men/2010.html,Big Sky,W,79,66,11,6,W 1,Dahlberg Arena,/cbb/schools/montana/men/2010.html,/cbb/schools/eastern-washington/men/2010.html,-11.91,
17,/cbb/boxscores/2010-01-09-montana.html,"Sat, Jan 9, 2010",REG,Portland State,/cbb/conferences/big-sky/men/2010.html,Big Sky,W,90,58,12,6,W 2,Dahlberg Arena,/cbb/schools/montana/men/2010.html,/cbb/schools/portland-state/men/2010.html,-3.49,
18,/cbb/boxscores/2010-01-15-sacramento-state.html,"Fri, Jan 15, 2010",REG,Sacramento State,/cbb/conferences/big-sky/men/2010.html,Big Sky,W,57,56,13,6,W 3,Hornets Nest,/cbb/schools/montana/men/2010.html,/cbb/schools/sacramento-state/men/2010.html,-12.41,@
19,/cbb/boxscores/2010-01-23-montana-state.html,"Sat, Jan 23, 2010",REG,Montana State,/cbb/conferences/big-sky/men/2010.html,Big Sky,L,52,61,13,7,L 1,Worthington Arena,/cbb/schools/montana/men/2010.html,/cbb/schools/montana-state/men/2010.html,-3.18,@
20,/cbb/boxscores/2010-01-28-northern-colorado.html,"Thu, Jan 28, 2010",REG,Northern Colorado,/cbb/conferences/big-sky/men/2010.html,Big Sky,W,64,62,14,7,W 1,Butler Hancock Sports Pavilion,/cbb/schools/montana/men/2010.html,/cbb/schools/northern-colorado/men/2010.html,2.06,@
21,/cbb/boxscores/2010-01-30-northern-arizona.html,"Sat, Jan 30, 2010",REG,Northern Arizona,/cbb/conferences/big-sky/men/2010.html,Big Sky,W,84,64,15,7,W 2,Walkup Skydome,/cbb/schools/montana/men/2010.html,/cbb/schools/northern-arizona/men/2010.html,-7.54,@
22,/cbb/boxscores/2010-02-05-montana.html,"Fri, Feb 5, 2010",REG,Weber State,/cbb/conferences/big-sky/men/2010.html,Big Sky,W,75,61,16,7,W 3,Dahlberg Arena,/cbb/schools/montana/men/2010.html,/cbb/schools/weber-state/men/2010.html,3.71,
23,/cbb/boxscores/2010-02-06-montana.html,"Sat, Feb 6, 2010",REG,Idaho State,/cbb/conferences/big-sky/men/2010.html,Big Sky,W,91,68,17,7,W 4,Dahlberg Arena,/cbb/schools/montana/men/2010.html,/cbb/schools/idaho-state/men/2010.html,-10.29,
24,/cbb/boxscores/2010-02-12-portland-state.html,"Fri, Feb 12, 2010",REG,Portland State,/cbb/conferences/big-sky/men/2010.html,Big Sky,W,81,76,18,7,W 5,Peter W. Stott Center,/cbb/schools/montana/men/2010.html,/cbb/schools/portland-state/men/2010.html,-3.49,@
25,/cbb/boxscores/2010-02-14-eastern-washington.html,"Sun, Feb 14, 2010",REG,Eastern Washington,/cbb/conferences/big-sky/men/2010.html,Big Sky,L,68,69,18,8,L 1,Reese Court,/cbb/schools/montana/men/2010.html,/cbb/schools/eastern-washington/men/2010.html,-11.91,@
26,/cbb/boxscores/2010-02-20-montana.html,"Sat, Feb 20, 2010",REG,Sacramento State,/cbb/conferences/big-sky/men/2010.html,Big Sky,W,86,58,19,8,W 1,Dahlberg Arena,/cbb/schools/montana/men/2010.html,/cbb/schools/sacramento-state/men/2010.html,-12.41,
27,/cbb/boxscores/2010-02-27-montana.html,"Sat, Feb 27, 2010",REG,Montana State,/cbb/conferences/big-sky/men/2010.html,Big Sky,L,67,73,19,9,L 1,Dahlberg Arena,/cbb/schools/montana/men/2010.html,/cbb/schools/montana-state/men/2010.html,-3.18,
28,/cbb/boxscores/2010-03-06-montana.html,"Sat, Mar 6, 2010",CTOURN,Northern Arizona,/cbb/conferences/big-sky/men/2010.html,Big Sky,W,81,60,20,9,W 1,Dahlberg Arena,/cbb/schools/montana/men/2010.html,/cbb/schools/northern-arizona/men/2010.html,-7.54,
29,/cbb/boxscores/2010-03-09-northern-colorado.html,"Tue, Mar 9, 2010",CTOURN,Northern Colorado,/cbb/conferences/big-sky/men/2010.html,Big Sky,W,68,63,21,9,W 2,Dee Events Center,/cbb/schools/montana/men/2010.html,/cbb/schools/northern-colorado/men/2010.html,2.06,N
30,/cbb/boxscores/2010-03-10-weber-state.html,"Wed, Mar 10, 2010",CTOURN,Weber State,/cbb/conferences/big-sky/men/2010.html,Big Sky,W,66,65,22,9,W 3,Dee Events Center,/cbb/schools/montana/men/2010.html,/cbb/schools/weber-state/men/2010.html,3.71,@
31,/cbb/boxscores/2010-03-18-montana.html,"Thu, Mar 18, 2010",NCAA,New Mexico,/cbb/conferences/mwc/men/2010.html,MWC,L,57,62,22,10,L 1,SAP Center,/cbb/schools/montana/men/2010.html,/cbb/schools/new-mexico/men/2010.html,12.49,N
