,boxScorelink,date,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,overtimes,wins,losses,game_streak,arena,homeLink
0,/cbb/boxscores/2010-11-12-auburn.html,"Fri, Nov 12, 2010",REG,@,/cbb/schools/auburn/men/2011.html,Auburn,/cbb/conferences/sec/men/2011.html,SEC,-2.47,W,70,69,OT,1,0,W 1,Auburn Arena,/cbb/schools/north-carolina-asheville/men/2011.html
1,/cbb/boxscores/2010-11-16-furman.html,"Tue, Nov 16, 2010",REG,@,/cbb/schools/furman/men/2011.html,Furman,/cbb/conferences/southern/men/2011.html,Southern,-0.36,L,67,69,,1,1,L 1,Timmons Arena,/cbb/schools/north-carolina-asheville/men/2011.html
2,/cbb/boxscores/2010-11-20-north-carolina-asheville.html,"Sat, Nov 20, 2010",REG,,,Virginia Intermont,,,,W,116,58,,2,1,W 1,Charlie Justice Center,/cbb/schools/north-carolina-asheville/men/2011.html
3,/cbb/boxscores/2010-11-23-north-carolina.html,"Tue, Nov 23, 2010",REG,@,/cbb/schools/north-carolina/men/2011.html,North Carolina,/cbb/conferences/acc/men/2011.html,ACC,18.87,L,69,80,,2,2,L 1,Dean Smith Center,/cbb/schools/north-carolina-asheville/men/2011.html
4,/cbb/boxscores/2010-11-27-georgetown.html,"Sat, Nov 27, 2010",REG,@,/cbb/schools/georgetown/men/2011.html,Georgetown,/cbb/conferences/big-east/men/2011.html,Big East,14.61,L,72,87,,2,3,L 2,Verizon Center,/cbb/schools/north-carolina-asheville/men/2011.html
5,/cbb/boxscores/2010-11-29-south-carolina-upstate.html,"Mon, Nov 29, 2010",REG,@,/cbb/schools/south-carolina-upstate/men/2011.html,South Carolina Upstate,/cbb/conferences/atlantic-sun/men/2011.html,A-Sun,-12.44,L,91,93,2OT,2,4,L 3,G.B. Hodge Center,/cbb/schools/north-carolina-asheville/men/2011.html
6,/cbb/boxscores/2010-12-02-radford.html,"Thu, Dec 2, 2010",REG,@,/cbb/schools/radford/men/2011.html,Radford,/cbb/conferences/big-south/men/2011.html,Big South,-16.76,W,70,50,,3,4,W 1,Donald N. Dedmon Center,/cbb/schools/north-carolina-asheville/men/2011.html
7,/cbb/boxscores/2010-12-04-high-point.html,"Sat, Dec 4, 2010",REG,@,/cbb/schools/high-point/men/2011.html,High Point,/cbb/conferences/big-south/men/2011.html,Big South,-12.82,L,73,76,,3,5,L 1,Millis Center,/cbb/schools/north-carolina-asheville/men/2011.html
8,/cbb/boxscores/2010-12-11-north-carolina-asheville.html,"Sat, Dec 11, 2010",REG,,,Montreat,,,,W,86,57,,4,5,W 1,Charlie Justice Center,/cbb/schools/north-carolina-asheville/men/2011.html
9,/cbb/boxscores/2010-12-16-north-carolina-asheville.html,"Thu, Dec 16, 2010",REG,,,King (TN),,,,W,90,72,,5,5,W 2,Charlie Justice Center,/cbb/schools/north-carolina-asheville/men/2011.html
10,/cbb/boxscores/2010-12-21-ohio-state.html,"Tue, Dec 21, 2010",REG,@,/cbb/schools/ohio-state/men/2011.html,Ohio State,/cbb/conferences/big-ten/men/2011.html,Big Ten,25.84,L,49,96,,5,6,L 1,Value City Arena,/cbb/schools/north-carolina-asheville/men/2011.html
11,/cbb/boxscores/2010-12-28-north-carolina-asheville.html,"Tue, Dec 28, 2010",REG,,/cbb/schools/western-carolina/men/2011.html,Western Carolina,/cbb/conferences/southern/men/2011.html,Southern,-3.54,W,85,79,OT,6,6,W 1,Charlie Justice Center,/cbb/schools/north-carolina-asheville/men/2011.html
12,/cbb/boxscores/2010-12-31-north-carolina-asheville.html,"Fri, Dec 31, 2010",REG,,/cbb/schools/virginia-military-institute/men/2011.html,Virginia Military Institute,/cbb/conferences/big-south/men/2011.html,Big South,-4.23,L,72,83,,6,7,L 1,Charlie Justice Center,/cbb/schools/north-carolina-asheville/men/2011.html
13,/cbb/boxscores/2011-01-02-north-carolina-asheville.html,"Sun, Jan 2, 2011",REG,,/cbb/schools/liberty/men/2011.html,Liberty,/cbb/conferences/big-south/men/2011.html,Big South,-5.62,L,55,59,,6,8,L 2,Charlie Justice Center,/cbb/schools/north-carolina-asheville/men/2011.html
14,/cbb/boxscores/2011-01-06-winthrop.html,"Thu, Jan 6, 2011",REG,@,/cbb/schools/winthrop/men/2011.html,Winthrop,/cbb/conferences/big-south/men/2011.html,Big South,-5.38,W,88,67,,7,8,W 1,Winthrop Coliseum,/cbb/schools/north-carolina-asheville/men/2011.html
15,/cbb/boxscores/2011-01-08-presbyterian.html,"Sat, Jan 8, 2011",REG,@,/cbb/schools/presbyterian/men/2011.html,Presbyterian,/cbb/conferences/big-south/men/2011.html,Big South,-7.72,W,74,48,,8,8,W 2,Ross E. Templeton Center,/cbb/schools/north-carolina-asheville/men/2011.html
16,/cbb/boxscores/2011-01-15-north-carolina-asheville.html,"Sat, Jan 15, 2011",REG,,/cbb/schools/gardner-webb/men/2011.html,Gardner-Webb,/cbb/conferences/big-south/men/2011.html,Big South,-9.22,W,68,59,,9,8,W 3,Charlie Justice Center,/cbb/schools/north-carolina-asheville/men/2011.html
17,/cbb/boxscores/2011-01-20-north-carolina-asheville.html,"Thu, Jan 20, 2011",REG,,/cbb/schools/coastal-carolina/men/2011.html,Coastal Carolina,/cbb/conferences/big-south/men/2011.html,Big South,2.35,L,59,80,,9,9,L 1,Charlie Justice Center,/cbb/schools/north-carolina-asheville/men/2011.html
18,/cbb/boxscores/2011-01-22-north-carolina-asheville.html,"Sat, Jan 22, 2011",REG,,/cbb/schools/charleston-southern/men/2011.html,Charleston Southern,/cbb/conferences/big-south/men/2011.html,Big South,-4.86,W,77,69,,10,9,W 1,Charlie Justice Center,/cbb/schools/north-carolina-asheville/men/2011.html
19,/cbb/boxscores/2011-01-27-liberty.html,"Thu, Jan 27, 2011",REG,@,/cbb/schools/liberty/men/2011.html,Liberty,/cbb/conferences/big-south/men/2011.html,Big South,-5.62,L,81,83,OT,10,10,L 1,Vines Center,/cbb/schools/north-carolina-asheville/men/2011.html
20,/cbb/boxscores/2011-01-29-virginia-military-institute.html,"Sat, Jan 29, 2011",REG,@,/cbb/schools/virginia-military-institute/men/2011.html,Virginia Military Institute,/cbb/conferences/big-south/men/2011.html,Big South,-4.23,W,100,87,,11,10,W 1,Cameron Hall,/cbb/schools/north-carolina-asheville/men/2011.html
21,/cbb/boxscores/2011-02-03-north-carolina-asheville.html,"Thu, Feb 3, 2011",REG,,/cbb/schools/presbyterian/men/2011.html,Presbyterian,/cbb/conferences/big-south/men/2011.html,Big South,-7.72,W,88,55,,12,10,W 2,Charlie Justice Center,/cbb/schools/north-carolina-asheville/men/2011.html
22,/cbb/boxscores/2011-02-05-north-carolina-asheville.html,"Sat, Feb 5, 2011",REG,,/cbb/schools/winthrop/men/2011.html,Winthrop,/cbb/conferences/big-south/men/2011.html,Big South,-5.38,L,53,57,,12,11,L 1,Charlie Justice Center,/cbb/schools/north-carolina-asheville/men/2011.html
23,/cbb/boxscores/2011-02-12-gardner-webb.html,"Sat, Feb 12, 2011",REG,@,/cbb/schools/gardner-webb/men/2011.html,Gardner-Webb,/cbb/conferences/big-south/men/2011.html,Big South,-9.22,W,57,54,,13,11,W 1,Paul Porter Arena,/cbb/schools/north-carolina-asheville/men/2011.html
24,/cbb/boxscores/2011-02-15-charleston-southern.html,"Tue, Feb 15, 2011",REG,@,/cbb/schools/charleston-southern/men/2011.html,Charleston Southern,/cbb/conferences/big-south/men/2011.html,Big South,-4.86,L,70,79,,13,12,L 1,Buccaneer Field House,/cbb/schools/north-carolina-asheville/men/2011.html
25,/cbb/boxscores/2011-02-19-north-carolina-asheville.html,"Sat, Feb 19, 2011",REG,,/cbb/schools/northeastern/men/2011.html,Northeastern,/cbb/conferences/colonial/men/2011.html,CAA,-2.67,L,82,83,,13,13,L 2,Charlie Justice Center,/cbb/schools/north-carolina-asheville/men/2011.html
26,/cbb/boxscores/2011-02-22-coastal-carolina.html,"Tue, Feb 22, 2011",REG,@,/cbb/schools/coastal-carolina/men/2011.html,Coastal Carolina,/cbb/conferences/big-south/men/2011.html,Big South,2.35,W,61,58,,14,13,W 1,Kimbel Arena,/cbb/schools/north-carolina-asheville/men/2011.html
27,/cbb/boxscores/2011-02-24-north-carolina-asheville.html,"Thu, Feb 24, 2011",REG,,/cbb/schools/high-point/men/2011.html,High Point,/cbb/conferences/big-south/men/2011.html,Big South,-12.82,W,76,62,,15,13,W 2,Charlie Justice Center,/cbb/schools/north-carolina-asheville/men/2011.html
28,/cbb/boxscores/2011-02-26-north-carolina-asheville.html,"Sat, Feb 26, 2011",REG,,/cbb/schools/radford/men/2011.html,Radford,/cbb/conferences/big-south/men/2011.html,Big South,-16.76,W,81,58,,16,13,W 3,Charlie Justice Center,/cbb/schools/north-carolina-asheville/men/2011.html
29,/cbb/boxscores/2011-03-01-north-carolina-asheville.html,"Tue, Mar 1, 2011",CTOURN,,/cbb/schools/charleston-southern/men/2011.html,Charleston Southern,/cbb/conferences/big-south/men/2011.html,Big South,-4.86,W,72,63,,17,13,W 4,Charlie Justice Center,/cbb/schools/north-carolina-asheville/men/2011.html
30,/cbb/boxscores/2011-03-03-north-carolina-asheville.html,"Thu, Mar 3, 2011",CTOURN,N,/cbb/schools/high-point/men/2011.html,High Point,/cbb/conferences/big-south/men/2011.html,Big South,-12.82,W,62,45,,18,13,W 5,Charlie Justice Center,/cbb/schools/north-carolina-asheville/men/2011.html
31,/cbb/boxscores/2011-03-05-coastal-carolina.html,"Sat, Mar 5, 2011",CTOURN,@,/cbb/schools/coastal-carolina/men/2011.html,Coastal Carolina,/cbb/conferences/big-south/men/2011.html,Big South,2.35,W,60,47,,19,13,W 6,Kimbel Arena,/cbb/schools/north-carolina-asheville/men/2011.html
32,/cbb/boxscores/2011-03-15-arkansas-little-rock.html,"Tue, Mar 15, 2011",NCAA,N,/cbb/schools/arkansas-little-rock/men/2011.html,Little Rock,/cbb/conferences/sun-belt/men/2011.html,Sun Belt,-4.32,W,81,77,OT,20,13,W 7,University of Dayton Arena,/cbb/schools/north-carolina-asheville/men/2011.html
33,/cbb/boxscores/2011-03-17-north-carolina-asheville.html,"Thu, Mar 17, 2011",NCAA,N,/cbb/schools/pittsburgh/men/2011.html,Pittsburgh,/cbb/conferences/big-east/men/2011.html,Big East,20.82,L,51,74,,20,14,L 1,Verizon Center,/cbb/schools/north-carolina-asheville/men/2011.html
