,boxScorelink,date,game_type,game_location,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,wins,losses,game_streak,homeLink,arena,overtimes
0,/cbb/boxscores/2010-11-16-saint-marys-ca.html,"Tue, Nov 16, 2010",REG,@,/cbb/schools/saint-marys-ca/men/2011.html,Saint Mary's (CA),/cbb/conferences/wcc/men/2011.html,WCC,13.04,L,71,76,0,1,L 1,/cbb/schools/st-johns-ny/men/2011.html,,
1,/cbb/boxscores/2010-11-17-st-johns-ny.html,"Wed, Nov 17, 2010",REG,,/cbb/schools/columbia/men/2011.html,Columbia,/cbb/conferences/ivy/men/2011.html,Ivy,-5.22,W,79,66,1,1,W 1,/cbb/schools/st-johns-ny/men/2011.html,Carnesecca Arena,
2,/cbb/boxscores/2010-11-25-st-johns-ny.html,"Thu, Nov 25, 2010",REG,N,/cbb/schools/ball-state/men/2011.html,Ball State,/cbb/conferences/mac/men/2011.html,MAC,-0.70,W,78,73,2,1,W 2,/cbb/schools/st-johns-ny/men/2011.html,,OT
3,/cbb/boxscores/2010-11-26-st-johns-ny.html,"Fri, Nov 26, 2010",REG,N,/cbb/schools/drake/men/2011.html,Drake,/cbb/conferences/mvc/men/2011.html,MVC,-2.56,W,82,39,3,1,W 3,/cbb/schools/st-johns-ny/men/2011.html,Sullivan Arena,
4,/cbb/boxscores/2010-11-27-arizona-state.html,"Sat, Nov 27, 2010",REG,N,/cbb/schools/arizona-state/men/2011.html,Arizona State,/cbb/conferences/pac-10/men/2011.html,Pac-10,4.30,W,67,58,4,1,W 4,/cbb/schools/st-johns-ny/men/2011.html,Sullivan Arena,
5,/cbb/boxscores/2010-12-01-st-johns-ny.html,"Wed, Dec 1, 2010",REG,,/cbb/schools/wagner/men/2011.html,Wagner,/cbb/conferences/northeast/men/2011.html,NEC,-6.54,W,69,61,5,1,W 5,/cbb/schools/st-johns-ny/men/2011.html,Carnesecca Arena,
6,/cbb/boxscores/2010-12-07-st-johns-ny.html,"Tue, Dec 7, 2010",REG,,/cbb/schools/st-bonaventure/men/2011.html,St. Bonaventure,/cbb/conferences/atlantic-10/men/2011.html,A-10,1.31,L,66,67,5,2,L 1,/cbb/schools/st-johns-ny/men/2011.html,Carnesecca Arena,
7,/cbb/boxscores/2010-12-11-fordham.html,"Sat, Dec 11, 2010",REG,@,/cbb/schools/fordham/men/2011.html,Fordham,/cbb/conferences/atlantic-10/men/2011.html,A-10,-8.77,L,81,84,5,3,L 2,/cbb/schools/st-johns-ny/men/2011.html,Rose Hill Gymnasium,
8,/cbb/boxscores/2010-12-20-st-johns-ny.html,"Mon, Dec 20, 2010",REG,,/cbb/schools/davidson/men/2011.html,Davidson,/cbb/conferences/southern/men/2011.html,Southern,-0.39,W,62,57,6,3,W 1,/cbb/schools/st-johns-ny/men/2011.html,Madison Square Garden (IV),
9,/cbb/boxscores/2010-12-21-st-johns-ny.html,"Tue, Dec 21, 2010",REG,,/cbb/schools/northwestern/men/2011.html,Northwestern,/cbb/conferences/big-ten/men/2011.html,Big Ten,11.66,W,85,69,7,3,W 2,/cbb/schools/st-johns-ny/men/2011.html,Madison Square Garden (IV),
10,/cbb/boxscores/2010-12-29-west-virginia.html,"Wed, Dec 29, 2010",REG,@,/cbb/schools/west-virginia/men/2011.html,West Virginia,/cbb/conferences/big-east/men/2011.html,Big East,16.15,W,81,71,8,3,W 3,/cbb/schools/st-johns-ny/men/2011.html,WVU Coliseum,
11,/cbb/boxscores/2011-01-01-providence.html,"Sat, Jan 1, 2011",REG,@,/cbb/schools/providence/men/2011.html,Providence,/cbb/conferences/big-east/men/2011.html,Big East,6.91,W,67,65,9,3,W 4,/cbb/schools/st-johns-ny/men/2011.html,Dunkin Donuts Center,
12,/cbb/boxscores/2011-01-03-st-johns-ny.html,"Mon, Jan 3, 2011",REG,,/cbb/schools/georgetown/men/2011.html,Georgetown,/cbb/conferences/big-east/men/2011.html,Big East,14.61,W,61,58,10,3,W 5,/cbb/schools/st-johns-ny/men/2011.html,Madison Square Garden (IV),
13,/cbb/boxscores/2011-01-08-notre-dame.html,"Sat, Jan 8, 2011",REG,@,/cbb/schools/notre-dame/men/2011.html,Notre Dame,/cbb/conferences/big-east/men/2011.html,Big East,18.17,L,61,76,10,4,L 1,/cbb/schools/st-johns-ny/men/2011.html,Purcell Pavilion at the Joyce Center,
14,/cbb/boxscores/2011-01-12-st-johns-ny.html,"Wed, Jan 12, 2011",REG,,/cbb/schools/syracuse/men/2011.html,Syracuse,/cbb/conferences/big-east/men/2011.html,Big East,18.85,L,59,76,10,5,L 2,/cbb/schools/st-johns-ny/men/2011.html,Madison Square Garden (IV),
15,/cbb/boxscores/2011-01-16-st-johns-ny.html,"Sun, Jan 16, 2011",REG,,/cbb/schools/notre-dame/men/2011.html,Notre Dame,/cbb/conferences/big-east/men/2011.html,Big East,18.17,W,72,54,11,5,W 1,/cbb/schools/st-johns-ny/men/2011.html,Madison Square Garden (IV),
16,/cbb/boxscores/2011-01-19-louisville.html,"Wed, Jan 19, 2011",REG,@,/cbb/schools/louisville/men/2011.html,Louisville,/cbb/conferences/big-east/men/2011.html,Big East,18.60,L,63,88,11,6,L 1,/cbb/schools/st-johns-ny/men/2011.html,KFC Yum! Center,
17,/cbb/boxscores/2011-01-22-st-johns-ny.html,"Sat, Jan 22, 2011",REG,,/cbb/schools/cincinnati/men/2011.html,Cincinnati,/cbb/conferences/big-east/men/2011.html,Big East,15.41,L,51,53,11,7,L 2,/cbb/schools/st-johns-ny/men/2011.html,Carnesecca Arena,
18,/cbb/boxscores/2011-01-26-georgetown.html,"Wed, Jan 26, 2011",REG,@,/cbb/schools/georgetown/men/2011.html,Georgetown,/cbb/conferences/big-east/men/2011.html,Big East,14.61,L,52,77,11,8,L 3,/cbb/schools/st-johns-ny/men/2011.html,Verizon Center,
19,/cbb/boxscores/2011-01-30-st-johns-ny.html,"Sun, Jan 30, 2011",REG,,/cbb/schools/duke/men/2011.html,Duke,/cbb/conferences/acc/men/2011.html,ACC,24.51,W,93,78,12,8,W 1,/cbb/schools/st-johns-ny/men/2011.html,Madison Square Garden (IV),
20,/cbb/boxscores/2011-02-02-st-johns-ny.html,"Wed, Feb 2, 2011",REG,,/cbb/schools/rutgers/men/2011.html,Rutgers,/cbb/conferences/big-east/men/2011.html,Big East,7.88,W,58,56,13,8,W 2,/cbb/schools/st-johns-ny/men/2011.html,Carnesecca Arena,
21,/cbb/boxscores/2011-02-05-ucla.html,"Sat, Feb 5, 2011",REG,@,/cbb/schools/ucla/men/2011.html,UCLA,/cbb/conferences/pac-10/men/2011.html,Pac-10,11.70,L,59,66,13,9,L 1,/cbb/schools/st-johns-ny/men/2011.html,Pauley Pavilion,
22,/cbb/boxscores/2011-02-10-st-johns-ny.html,"Thu, Feb 10, 2011",REG,,/cbb/schools/connecticut/men/2011.html,Connecticut,/cbb/conferences/big-east/men/2011.html,Big East,17.95,W,89,72,14,9,W 1,/cbb/schools/st-johns-ny/men/2011.html,Madison Square Garden (IV),
23,/cbb/boxscores/2011-02-13-cincinnati.html,"Sun, Feb 13, 2011",REG,@,/cbb/schools/cincinnati/men/2011.html,Cincinnati,/cbb/conferences/big-east/men/2011.html,Big East,15.41,W,59,57,15,9,W 2,/cbb/schools/st-johns-ny/men/2011.html,Fifth Third Arena,
24,/cbb/boxscores/2011-02-15-marquette.html,"Tue, Feb 15, 2011",REG,@,/cbb/schools/marquette/men/2011.html,Marquette,/cbb/conferences/big-east/men/2011.html,Big East,14.89,W,80,68,16,9,W 3,/cbb/schools/st-johns-ny/men/2011.html,Bradley Center,
25,/cbb/boxscores/2011-02-19-st-johns-ny.html,"Sat, Feb 19, 2011",REG,,/cbb/schools/pittsburgh/men/2011.html,Pittsburgh,/cbb/conferences/big-east/men/2011.html,Big East,20.82,W,60,59,17,9,W 4,/cbb/schools/st-johns-ny/men/2011.html,Madison Square Garden (IV),
26,/cbb/boxscores/2011-02-23-st-johns-ny.html,"Wed, Feb 23, 2011",REG,,/cbb/schools/depaul/men/2011.html,DePaul,/cbb/conferences/big-east/men/2011.html,Big East,-1.31,W,76,51,18,9,W 5,/cbb/schools/st-johns-ny/men/2011.html,Carnesecca Arena,
27,/cbb/boxscores/2011-02-26-villanova.html,"Sat, Feb 26, 2011",REG,@,/cbb/schools/villanova/men/2011.html,Villanova,/cbb/conferences/big-east/men/2011.html,Big East,15.05,W,81,68,19,9,W 6,/cbb/schools/st-johns-ny/men/2011.html,Wells Fargo Center,
28,/cbb/boxscores/2011-03-03-seton-hall.html,"Thu, Mar 3, 2011",REG,@,/cbb/schools/seton-hall/men/2011.html,Seton Hall,/cbb/conferences/big-east/men/2011.html,Big East,11.03,L,70,84,19,10,L 1,/cbb/schools/st-johns-ny/men/2011.html,Prudential Center,
29,/cbb/boxscores/2011-03-05-st-johns-ny.html,"Sat, Mar 5, 2011",REG,,/cbb/schools/south-florida/men/2011.html,South Florida,/cbb/conferences/big-east/men/2011.html,Big East,4.28,W,72,56,20,10,W 1,/cbb/schools/st-johns-ny/men/2011.html,Carnesecca Arena,
30,/cbb/boxscores/2011-03-09-st-johns-ny.html,"Wed, Mar 9, 2011",CTOURN,,/cbb/schools/rutgers/men/2011.html,Rutgers,/cbb/conferences/big-east/men/2011.html,Big East,7.88,W,65,63,21,10,W 2,/cbb/schools/st-johns-ny/men/2011.html,Madison Square Garden (IV),
31,/cbb/boxscores/2011-03-10-syracuse.html,"Thu, Mar 10, 2011",CTOURN,N,/cbb/schools/syracuse/men/2011.html,Syracuse,/cbb/conferences/big-east/men/2011.html,Big East,18.85,L,73,79,21,11,L 1,/cbb/schools/st-johns-ny/men/2011.html,,
32,/cbb/boxscores/2011-03-17-gonzaga.html,"Thu, Mar 17, 2011",NCAA,N,/cbb/schools/gonzaga/men/2011.html,Gonzaga,/cbb/conferences/wcc/men/2011.html,WCC,13.86,L,71,86,21,12,L 2,/cbb/schools/st-johns-ny/men/2011.html,The Pepsi Center,
