,boxScorelink,date,game_type,opp,conf,game_result,pts,opp_pts,wins,losses,game_streak,arena,homeLink,game_location,oppLink,confLink,srs
0,/cbb/boxscores/2012-11-09-northwestern-state.html,"Fri, Nov 9, 2012",REG,East Texas Baptist,,W,118,77,1,0,W 1,Prather Coliseum,/cbb/schools/northwestern-state/men/2013.html,,,,
1,/cbb/boxscores/2012-11-12-campbell.html,"Mon, Nov 12, 2012",REG,Campbell,Big South,W,71,67,2,0,W 2,John W. Pope Jr. Convocation Center,/cbb/schools/northwestern-state/men/2013.html,@,/cbb/schools/campbell/men/2013.html,/cbb/conferences/big-south/men/2013.html,-10.23
2,/cbb/boxscores/2012-11-17-northwestern-state.html,"Sat, Nov 17, 2012",REG,Hannibal-LaGrange,,W,92,43,3,0,W 3,Prather Coliseum,/cbb/schools/northwestern-state/men/2013.html,,,,
3,/cbb/boxscores/2012-11-20-louisiana-state.html,"Tue, Nov 20, 2012",REG,Louisiana State,SEC,L,95,102,3,1,L 1,Maravich Assembly Center,/cbb/schools/northwestern-state/men/2013.html,@,/cbb/schools/louisiana-state/men/2013.html,/cbb/conferences/sec/men/2013.html,5.82
4,/cbb/boxscores/2012-11-26-texas-am.html,"Mon, Nov 26, 2012",REG,Texas A&M,SEC,L,65,78,3,2,L 2,Reed Arena,/cbb/schools/northwestern-state/men/2013.html,@,/cbb/schools/texas-am/men/2013.html,/cbb/conferences/sec/men/2013.html,6.51
5,/cbb/boxscores/2012-11-30-oklahoma.html,"Fri, Nov 30, 2012",REG,Oklahoma,Big 12,L,65,69,3,3,L 3,Lloyd Noble Center,/cbb/schools/northwestern-state/men/2013.html,@,/cbb/schools/oklahoma/men/2013.html,/cbb/conferences/big-12/men/2013.html,11.40
6,/cbb/boxscores/2012-12-04-northwestern-state.html,"Tue, Dec 4, 2012",REG,Louisiana Tech,WAC,W,89,83,4,3,W 1,Prather Coliseum,/cbb/schools/northwestern-state/men/2013.html,,/cbb/schools/louisiana-tech/men/2013.html,/cbb/conferences/wac/men/2013.html,5.47
7,/cbb/boxscores/2012-12-15-northwestern-state.html,"Sat, Dec 15, 2012",REG,Missouri Valley,,W,95,78,5,3,W 2,Prather Coliseum,/cbb/schools/northwestern-state/men/2013.html,,,,
8,/cbb/boxscores/2012-12-29-arkansas.html,"Sat, Dec 29, 2012",REG,Arkansas,SEC,L,61,79,5,4,L 1,Bud Walton Arena,/cbb/schools/northwestern-state/men/2013.html,@,/cbb/schools/arkansas/men/2013.html,/cbb/conferences/sec/men/2013.html,9.83
9,/cbb/boxscores/2012-12-31-northwestern-state.html,"Mon, Dec 31, 2012",REG,LeTourneau,,W,102,52,6,4,W 1,Prather Coliseum,/cbb/schools/northwestern-state/men/2013.html,,,,
10,/cbb/boxscores/2013-01-03-northwestern-state.html,"Thu, Jan 3, 2013",REG,McNeese State,Southland,W,78,63,7,4,W 2,Prather Coliseum,/cbb/schools/northwestern-state/men/2013.html,,/cbb/schools/mcneese-state/men/2013.html,/cbb/conferences/southland/men/2013.html,-11.50
11,/cbb/boxscores/2013-01-05-northwestern-state.html,"Sat, Jan 5, 2013",REG,Lamar,Southland,W,86,58,8,4,W 3,Prather Coliseum,/cbb/schools/northwestern-state/men/2013.html,,/cbb/schools/lamar/men/2013.html,/cbb/conferences/southland/men/2013.html,-20.56
12,/cbb/boxscores/2013-01-07-sam-houston-state.html,"Mon, Jan 7, 2013",REG,Sam Houston,Southland,W,73,64,9,4,W 4,Bernard Johnson Coliseum,/cbb/schools/northwestern-state/men/2013.html,@,/cbb/schools/sam-houston-state/men/2013.html,/cbb/conferences/southland/men/2013.html,-6.48
13,/cbb/boxscores/2013-01-10-oral-roberts.html,"Thu, Jan 10, 2013",REG,Oral Roberts,Southland,L,74,80,9,5,L 1,Mabee Center,/cbb/schools/northwestern-state/men/2013.html,@,/cbb/schools/oral-roberts/men/2013.html,/cbb/conferences/southland/men/2013.html,-0.27
14,/cbb/boxscores/2013-01-12-central-arkansas.html,"Sat, Jan 12, 2013",REG,Central Arkansas,Southland,W,100,88,10,5,W 1,Farris Center,/cbb/schools/northwestern-state/men/2013.html,@,/cbb/schools/central-arkansas/men/2013.html,/cbb/conferences/southland/men/2013.html,-10.89
15,/cbb/boxscores/2013-01-17-northwestern-state.html,"Thu, Jan 17, 2013",REG,Nicholls State,Southland,L,78,93,10,6,L 1,Prather Coliseum,/cbb/schools/northwestern-state/men/2013.html,,/cbb/schools/nicholls-state/men/2013.html,/cbb/conferences/southland/men/2013.html,-10.56
16,/cbb/boxscores/2013-01-19-northwestern-state.html,"Sat, Jan 19, 2013",REG,Southeastern Louisiana,Southland,W,103,68,11,6,W 1,Prather Coliseum,/cbb/schools/northwestern-state/men/2013.html,,/cbb/schools/southeastern-louisiana/men/2013.html,/cbb/conferences/southland/men/2013.html,-10.67
17,/cbb/boxscores/2013-01-26-northwestern-state.html,"Sat, Jan 26, 2013",REG,Stephen F. Austin,Southland,W,61,57,12,6,W 2,Prather Coliseum,/cbb/schools/northwestern-state/men/2013.html,,/cbb/schools/stephen-f-austin/men/2013.html,/cbb/conferences/southland/men/2013.html,4.23
18,/cbb/boxscores/2013-01-31-lamar.html,"Thu, Jan 31, 2013",REG,Lamar,Southland,W,85,63,13,6,W 3,Montagne Center,/cbb/schools/northwestern-state/men/2013.html,@,/cbb/schools/lamar/men/2013.html,/cbb/conferences/southland/men/2013.html,-20.56
19,/cbb/boxscores/2013-02-03-mcneese-state.html,"Sun, Feb 3, 2013",REG,McNeese State,Southland,W,86,74,14,6,W 4,Burton Coliseum,/cbb/schools/northwestern-state/men/2013.html,@,/cbb/schools/mcneese-state/men/2013.html,/cbb/conferences/southland/men/2013.html,-11.50
20,/cbb/boxscores/2013-02-07-northwestern-state.html,"Thu, Feb 7, 2013",REG,Oral Roberts,Southland,W,85,73,15,6,W 5,Prather Coliseum,/cbb/schools/northwestern-state/men/2013.html,,/cbb/schools/oral-roberts/men/2013.html,/cbb/conferences/southland/men/2013.html,-0.27
21,/cbb/boxscores/2013-02-09-northwestern-state.html,"Sat, Feb 9, 2013",REG,Central Arkansas,Southland,W,93,73,16,6,W 6,Prather Coliseum,/cbb/schools/northwestern-state/men/2013.html,,/cbb/schools/central-arkansas/men/2013.html,/cbb/conferences/southland/men/2013.html,-10.89
22,/cbb/boxscores/2013-02-14-southeastern-louisiana.html,"Thu, Feb 14, 2013",REG,Southeastern Louisiana,Southland,W,79,76,17,6,W 7,University Center,/cbb/schools/northwestern-state/men/2013.html,@,/cbb/schools/southeastern-louisiana/men/2013.html,/cbb/conferences/southland/men/2013.html,-10.67
23,/cbb/boxscores/2013-02-16-nicholls-state.html,"Sat, Feb 16, 2013",REG,Nicholls State,Southland,W,84,79,18,6,W 8,David Stopher Gymnasium,/cbb/schools/northwestern-state/men/2013.html,@,/cbb/schools/nicholls-state/men/2013.html,/cbb/conferences/southland/men/2013.html,-10.56
24,/cbb/boxscores/2013-02-19-texas-am-corpus-christi.html,"Tue, Feb 19, 2013",REG,Texas A&M-Corpus Christi,Southland,W,82,71,19,6,W 9,American Bank Center,/cbb/schools/northwestern-state/men/2013.html,@,/cbb/schools/texas-am-corpus-christi/men/2013.html,/cbb/conferences/southland/men/2013.html,-11.78
25,/cbb/boxscores/2013-02-23-niagara.html,"Sat, Feb 23, 2013",REG,Niagara,MAAC,L,76,92,19,7,L 1,Gallagher Center,/cbb/schools/northwestern-state/men/2013.html,@,/cbb/schools/niagara/men/2013.html,/cbb/conferences/maac/men/2013.html,0.59
26,/cbb/boxscores/2013-03-02-stephen-f-austin.html,"Sat, Mar 2, 2013",REG,Stephen F. Austin,Southland,L,63,64,19,8,L 2,William Johnson Coliseum,/cbb/schools/northwestern-state/men/2013.html,@,/cbb/schools/stephen-f-austin/men/2013.html,/cbb/conferences/southland/men/2013.html,4.23
27,/cbb/boxscores/2013-03-07-northwestern-state.html,"Thu, Mar 7, 2013",REG,Texas A&M-Corpus Christi,Southland,W,66,51,20,8,W 1,Prather Coliseum,/cbb/schools/northwestern-state/men/2013.html,,/cbb/schools/texas-am-corpus-christi/men/2013.html,/cbb/conferences/southland/men/2013.html,-11.78
28,/cbb/boxscores/2013-03-09-northwestern-state.html,"Sat, Mar 9, 2013",REG,Sam Houston,Southland,W,84,73,21,8,W 2,Prather Coliseum,/cbb/schools/northwestern-state/men/2013.html,,/cbb/schools/sam-houston-state/men/2013.html,/cbb/conferences/southland/men/2013.html,-6.48
29,/cbb/boxscores/2013-03-15-northwestern-state.html,"Fri, Mar 15, 2013",CTOURN,Sam Houston,Southland,W,55,52,22,8,W 3,Merrell Center,/cbb/schools/northwestern-state/men/2013.html,N,/cbb/schools/sam-houston-state/men/2013.html,/cbb/conferences/southland/men/2013.html,-6.48
30,/cbb/boxscores/2013-03-16-northwestern-state.html,"Sat, Mar 16, 2013",CTOURN,Stephen F. Austin,Southland,W,68,66,23,8,W 4,Merrell Center,/cbb/schools/northwestern-state/men/2013.html,N,/cbb/schools/stephen-f-austin/men/2013.html,/cbb/conferences/southland/men/2013.html,4.23
31,/cbb/boxscores/2013-03-22-florida.html,"Fri, Mar 22, 2013",NCAA,Florida,SEC,L,47,79,23,9,L 1,Frank Erwin Center,/cbb/schools/northwestern-state/men/2013.html,N,/cbb/schools/florida/men/2013.html,/cbb/conferences/sec/men/2013.html,23.88
