,boxScorelink,date,time_game,game_type,oppLink,opp,confLink,conf,srs,game_result,pts,opp_pts,overtimes,wins,losses,game_streak,arena,homeLink,game_location
0,/cbb/boxscores/2018-11-06-20-arizona-state.html,"Tue, Nov 6, 2018",8:00p,REG,/cbb/schools/cal-state-fullerton/men/2019.html,Cal State Fullerton,/cbb/conferences/big-west/men/2019.html,Big West,-3.29,W,102,94,2OT,1,0,W 1,Wells Fargo Arena,/cbb/schools/arizona-state/men/2019.html,
1,/cbb/boxscores/2018-11-09-21-arizona-state.html,"Fri, Nov 9, 2018",9:00p,REG,/cbb/schools/mcneese-state/men/2019.html,McNeese State,/cbb/conferences/southland/men/2019.html,Southland,-14.41,W,80,52,,2,0,W 2,Wells Fargo Arena,/cbb/schools/arizona-state/men/2019.html,
2,/cbb/boxscores/2018-11-12-21-arizona-state.html,"Mon, Nov 12, 2018",9:00p,REG,/cbb/schools/long-beach-state/men/2019.html,Long Beach State,/cbb/conferences/big-west/men/2019.html,Big West,-4.57,W,90,58,,3,0,W 3,Wells Fargo Arena,/cbb/schools/arizona-state/men/2019.html,
3,/cbb/boxscores/2018-11-19-23-arizona-state.html,"Mon, Nov 19, 2018",11:00p,REG,/cbb/schools/mississippi-state/men/2019.html,Mississippi State,/cbb/conferences/sec/men/2019.html,SEC,15.96,W,72,67,,4,0,W 4,T-Mobile Arena,/cbb/schools/arizona-state/men/2019.html,N
4,/cbb/boxscores/2018-11-21-23-utah-state.html,"Wed, Nov 21, 2018",11:00p,REG,/cbb/schools/utah-state/men/2019.html,Utah State,/cbb/conferences/mwc/men/2019.html,MWC,11.98,W,87,82,,5,0,W 5,T-Mobile Arena,/cbb/schools/arizona-state/men/2019.html,N
5,/cbb/boxscores/2018-11-28-21-arizona-state.html,"Wed, Nov 28, 2018",9:00p,REG,/cbb/schools/nebraska-omaha/men/2019.html,Omaha,/cbb/conferences/summit/men/2019.html,Summit,-2.32,W,89,71,,6,0,W 6,Wells Fargo Arena,/cbb/schools/arizona-state/men/2019.html,
6,/cbb/boxscores/2018-12-01-21-arizona-state.html,"Sat, Dec 1, 2018",9:30p,REG,/cbb/schools/texas-southern/men/2019.html,Texas Southern,/cbb/conferences/swac/men/2019.html,SWAC,-5.55,W,83,71,,7,0,W 7,Wells Fargo Arena,/cbb/schools/arizona-state/men/2019.html,
7,/cbb/boxscores/2018-12-07-23-arizona-state.html,"Fri, Dec 7, 2018",11:59p,REG,/cbb/schools/nevada/men/2019.html,Nevada,/cbb/conferences/mwc/men/2019.html,MWC,16.00,L,66,72,,7,1,L 1,Staples Center,/cbb/schools/arizona-state/men/2019.html,N
8,/cbb/boxscores/2018-12-15-18-georgia.html,"Sat, Dec 15, 2018",6:00p,REG,/cbb/schools/georgia/men/2019.html,Georgia,/cbb/conferences/sec/men/2019.html,SEC,5.31,W,76,74,,8,1,W 1,Stegeman Coliseum,/cbb/schools/arizona-state/men/2019.html,@
9,/cbb/boxscores/2018-12-17-19-vanderbilt.html,"Mon, Dec 17, 2018",7:00p,REG,/cbb/schools/vanderbilt/men/2019.html,Vanderbilt,/cbb/conferences/sec/men/2019.html,SEC,3.57,L,65,81,,8,2,L 1,Memorial Gymnasium,/cbb/schools/arizona-state/men/2019.html,@
10,/cbb/boxscores/2018-12-22-21-arizona-state.html,"Sat, Dec 22, 2018",9:00p,REG,/cbb/schools/kansas/men/2019.html,Kansas,/cbb/conferences/big-12/men/2019.html,Big 12,18.35,W,80,76,,9,2,W 1,Wells Fargo Arena,/cbb/schools/arizona-state/men/2019.html,
11,/cbb/boxscores/2018-12-29-16-arizona-state.html,"Sat, Dec 29, 2018",4:00p,REG,/cbb/schools/princeton/men/2019.html,Princeton,/cbb/conferences/ivy/men/2019.html,Ivy,-3.43,L,66,67,,9,3,L 1,Wells Fargo Arena,/cbb/schools/arizona-state/men/2019.html,
12,/cbb/boxscores/2019-01-03-20-arizona-state.html,"Thu, Jan 3, 2019",8:00p,REG,/cbb/schools/utah/men/2019.html,Utah,/cbb/conferences/pac-12/men/2019.html,Pac-12,6.13,L,86,96,,9,4,L 2,Wells Fargo Arena,/cbb/schools/arizona-state/men/2019.html,
13,/cbb/boxscores/2019-01-05-18-arizona-state.html,"Sat, Jan 5, 2019",6:00p,REG,/cbb/schools/colorado/men/2019.html,Colorado,/cbb/conferences/pac-12/men/2019.html,Pac-12,9.68,W,83,61,,10,4,W 1,Wells Fargo Arena,/cbb/schools/arizona-state/men/2019.html,
14,/cbb/boxscores/2019-01-09-21-california.html,"Wed, Jan 9, 2019",9:00p,REG,/cbb/schools/california/men/2019.html,California,/cbb/conferences/pac-12/men/2019.html,Pac-12,-3.16,W,80,66,,11,4,W 2,Haas Pavilion,/cbb/schools/arizona-state/men/2019.html,@
15,/cbb/boxscores/2019-01-12-18-stanford.html,"Sat, Jan 12, 2019",6:00p,REG,/cbb/schools/stanford/men/2019.html,Stanford,/cbb/conferences/pac-12/men/2019.html,Pac-12,6.03,L,71,85,,11,5,L 1,Maples Pavilion,/cbb/schools/arizona-state/men/2019.html,@
16,/cbb/boxscores/2019-01-17-22-arizona-state.html,"Thu, Jan 17, 2019",10:00p,REG,/cbb/schools/oregon-state/men/2019.html,Oregon State,/cbb/conferences/pac-12/men/2019.html,Pac-12,7.84,W,70,67,,12,5,W 1,Wells Fargo Arena,/cbb/schools/arizona-state/men/2019.html,
17,/cbb/boxscores/2019-01-19-21-arizona-state.html,"Sat, Jan 19, 2019",9:30p,REG,/cbb/schools/oregon/men/2019.html,Oregon,/cbb/conferences/pac-12/men/2019.html,Pac-12,13.95,W,78,64,,13,5,W 2,Wells Fargo Arena,/cbb/schools/arizona-state/men/2019.html,
18,/cbb/boxscores/2019-01-24-23-ucla.html,"Thu, Jan 24, 2019",11:00p,REG,/cbb/schools/ucla/men/2019.html,UCLA,/cbb/conferences/pac-12/men/2019.html,Pac-12,7.17,W,84,73,,14,5,W 3,Pauley Pavilion,/cbb/schools/arizona-state/men/2019.html,@
19,/cbb/boxscores/2019-01-26-20-southern-california.html,"Sat, Jan 26, 2019",8:00p,REG,/cbb/schools/southern-california/men/2019.html,Southern California,/cbb/conferences/pac-12/men/2019.html,Pac-12,8.23,L,67,69,,14,6,L 1,Galen Center,/cbb/schools/arizona-state/men/2019.html,@
20,/cbb/boxscores/2019-01-31-21-arizona-state.html,"Thu, Jan 31, 2019",9:00p,REG,/cbb/schools/arizona/men/2019.html,Arizona,/cbb/conferences/pac-12/men/2019.html,Pac-12,8.32,W,95,88,OT,15,6,W 1,Wells Fargo Arena,/cbb/schools/arizona-state/men/2019.html,
21,/cbb/boxscores/2019-02-07-20-arizona-state.html,"Thu, Feb 7, 2019",8:00p,REG,/cbb/schools/washington-state/men/2019.html,Washington State,/cbb/conferences/pac-12/men/2019.html,Pac-12,-1.67,L,70,91,,15,7,L 1,Wells Fargo Arena,/cbb/schools/arizona-state/men/2019.html,
22,/cbb/boxscores/2019-02-09-22-arizona-state.html,"Sat, Feb 9, 2019",10:00p,REG,/cbb/schools/washington/men/2019.html,Washington,/cbb/conferences/pac-12/men/2019.html,Pac-12,12.01,W,75,63,,16,7,W 1,Wells Fargo Arena,/cbb/schools/arizona-state/men/2019.html,
23,/cbb/boxscores/2019-02-13-22-colorado.html,"Wed, Feb 13, 2019",10:30p,REG,/cbb/schools/colorado/men/2019.html,Colorado,/cbb/conferences/pac-12/men/2019.html,Pac-12,9.68,L,73,77,,16,8,L 1,CU Events Center,/cbb/schools/arizona-state/men/2019.html,@
24,/cbb/boxscores/2019-02-16-22-utah.html,"Sat, Feb 16, 2019",10:00p,REG,/cbb/schools/utah/men/2019.html,Utah,/cbb/conferences/pac-12/men/2019.html,Pac-12,6.13,W,98,87,,17,8,W 1,Jon M. Huntsman Center,/cbb/schools/arizona-state/men/2019.html,@
25,/cbb/boxscores/2019-02-20-21-arizona-state.html,"Wed, Feb 20, 2019",9:00p,REG,/cbb/schools/stanford/men/2019.html,Stanford,/cbb/conferences/pac-12/men/2019.html,Pac-12,6.03,W,80,62,,18,8,W 2,Wells Fargo Arena,/cbb/schools/arizona-state/men/2019.html,
26,/cbb/boxscores/2019-02-24-18-arizona-state.html,"Sun, Feb 24, 2019",6:00p,REG,/cbb/schools/california/men/2019.html,California,/cbb/conferences/pac-12/men/2019.html,Pac-12,-3.16,W,69,59,,19,8,W 3,Wells Fargo Arena,/cbb/schools/arizona-state/men/2019.html,
27,/cbb/boxscores/2019-02-28-23-oregon.html,"Thu, Feb 28, 2019",11:00p,REG,/cbb/schools/oregon/men/2019.html,Oregon,/cbb/conferences/pac-12/men/2019.html,Pac-12,13.95,L,51,79,,19,9,L 1,Matthew Knight Arena,/cbb/schools/arizona-state/men/2019.html,@
28,/cbb/boxscores/2019-03-03-20-oregon-state.html,"Sun, Mar 3, 2019",8:00p,REG,/cbb/schools/oregon-state/men/2019.html,Oregon State,/cbb/conferences/pac-12/men/2019.html,Pac-12,7.84,W,74,71,,20,9,W 1,Gill Coliseum,/cbb/schools/arizona-state/men/2019.html,@
29,/cbb/boxscores/2019-03-09-16-arizona.html,"Sat, Mar 9, 2019",4:00p,REG,/cbb/schools/arizona/men/2019.html,Arizona,/cbb/conferences/pac-12/men/2019.html,Pac-12,8.32,W,72,64,,21,9,W 2,McKale Center,/cbb/schools/arizona-state/men/2019.html,@
30,/cbb/boxscores/2019-03-14-21-arizona-state.html,"Thu, Mar 14, 2019",9:00p,CTOURN,/cbb/schools/ucla/men/2019.html,UCLA,/cbb/conferences/pac-12/men/2019.html,Pac-12,7.17,W,83,72,,22,9,W 3,T-Mobile Arena,/cbb/schools/arizona-state/men/2019.html,N
31,/cbb/boxscores/2019-03-15-23-arizona-state.html,"Fri, Mar 15, 2019",11:30p,CTOURN,/cbb/schools/oregon/men/2019.html,Oregon,/cbb/conferences/pac-12/men/2019.html,Pac-12,13.95,L,75,79,OT,22,10,L 1,T-Mobile Arena,/cbb/schools/arizona-state/men/2019.html,N
32,/cbb/boxscores/2019-03-20-21-arizona-state.html,"Wed, Mar 20, 2019",9:10p,NCAA,/cbb/schools/st-johns-ny/men/2019.html,St. John's (NY),/cbb/conferences/big-east/men/2019.html,Big East,7.88,W,74,65,,23,10,W 1,University of Dayton Arena,/cbb/schools/arizona-state/men/2019.html,N
33,/cbb/boxscores/2019-03-22-16-buffalo.html,"Fri, Mar 22, 2019",4:00p,NCAA,/cbb/schools/buffalo/men/2019.html,Buffalo,/cbb/conferences/mac/men/2019.html,MAC,15.56,L,74,91,,23,11,L 1,BOK Center,/cbb/schools/arizona-state/men/2019.html,N
