Season,Seed,TeamID,TeamName,Link
2024,W01,1163,Connecticut,/cbb/schools/connecticut/men/2024.html
2024,W02,1235,Iowa St,/cbb/schools/iowa-state/men/2024.html
2024,W03,1228,Illinois,/cbb/schools/illinois/men/2024.html
2024,W04,1120,Auburn,/cbb/schools/auburn/men/2024.html
2024,W05,1361,San Diego St,/cbb/schools/san-diego-state/men/2024.html
2024,W06,1140,BYU,/cbb/schools/brigham-young/men/2024.html
2024,W07,1450,Washington St,/cbb/schools/washington-state/men/2024.html
2024,W08,1194,FL Atlantic,/cbb/schools/florida-atlantic/men/2024.html
2024,W09,1321,Northwestern,/cbb/schools/northwestern/men/2024.html
2024,W10,1179,Drake,/cbb/schools/drake/men/2024.html
2024,W11,1182,Duquesne,/cbb/schools/duquesne/men/2024.html
2024,W12,1412,UAB,/cbb/schools/alabama-birmingham/men/2024.html
2024,W13,1463,Yale,/cbb/schools/yale/men/2024.html
2024,W14,1287,Morehead St,/cbb/schools/morehead-state/men/2024.html
2024,W15,1355,S Dakota St,/cbb/schools/south-dakota-state/men/2024.html
2024,W16,1391,Stetson,/cbb/schools/stetson/men/2024.html
2024,X01,1314,North Carolina,/cbb/schools/north-carolina/men/2024.html
2024,X02,1112,Arizona,/cbb/schools/arizona/men/2024.html
2024,X03,1124,Baylor,/cbb/schools/baylor/men/2024.html
2024,X04,1104,Alabama,/cbb/schools/alabama/men/2024.html
2024,X05,1388,St Mary's CA,/cbb/schools/saint-marys-ca/men/2024.html
2024,X06,1155,Clemson,/cbb/schools/clemson/men/2024.html
2024,X07,1173,Dayton,/cbb/schools/dayton/men/2024.html
2024,X08,1280,Mississippi St,/cbb/schools/mississippi-state/men/2024.html
2024,X09,1277,Michigan St,/cbb/schools/michigan-state/men/2024.html
2024,X10,1305,Nevada,/cbb/schools/nevada/men/2024.html
2024,X11,1307,New Mexico,/cbb/schools/new-mexico/men/2024.html
2024,X12,1213,Grand Canyon,/cbb/schools/grand-canyon/men/2024.html
2024,X13,1158,Col Charleston,/cbb/schools/college-of-charleston/men/2024.html
2024,X14,1159,Colgate,/cbb/schools/colgate/men/2024.html
2024,X15,1253,Long Beach St,/cbb/schools/long-beach-state/men/2024.html
2024,X16a,1224,Howard,/cbb/schools/howard/men/2024.html
2024,X16,1447,Wagner,/cbb/schools/wagner/men/2024.html
2024,Y01,1345,Purdue,/cbb/schools/purdue/men/2024.html
2024,Y02,1397,Tennessee,/cbb/schools/tennessee/men/2024.html
2024,Y03,1166,Creighton,/cbb/schools/creighton/men/2024.html
2024,Y04,1242,Kansas,/cbb/schools/kansas/men/2024.html
2024,Y05,1211,Gonzaga,/cbb/schools/gonzaga/men/2024.html
2024,Y06,1376,South Carolina,/cbb/schools/south-carolina/men/2024.html
2024,Y07,1400,Texas,/cbb/schools/texas/men/2024.html
2024,Y08,1429,Utah St,/cbb/schools/utah-state/men/2024.html
2024,Y09,1395,TCU,/cbb/schools/texas-christian/men/2024.html
2024,Y10,1161,Colorado St,/cbb/schools/colorado-state/men/2024.html
2024,Y10b,1438,Virginia,/cbb/schools/virginia/men/2024.html
2024,Y11,1332,Oregon,/cbb/schools/oregon/men/2024.html
2024,Y12,1270,McNeese St,/cbb/schools/mcneese-state/men/2024.html
2024,Y13,1359,Samford,/cbb/schools/samford/men/2024.html
2024,Y14,1103,Akron,/cbb/schools/akron/men/2024.html
2024,Y15,1389,St Peter's,/cbb/schools/saint-peters/men/2024.html
2024,Y16,1212,Grambling,/cbb/schools/grambling/men/2024.html
2024,Y16b,1286,Montana St,/cbb/schools/montana-state/men/2024.html
2024,Z01,1222,Houston,/cbb/schools/houston/men/2024.html
2024,Z02,1266,Marquette,/cbb/schools/marquette/men/2024.html
2024,Z03,1246,Kentucky,/cbb/schools/kentucky/men/2024.html
2024,Z04,1181,Duke,/cbb/schools/duke/men/2024.html
2024,Z05,1458,Wisconsin,/cbb/schools/wisconsin/men/2024.html
2024,Z06,1403,Texas Tech,/cbb/schools/texas-tech/men/2024.html
2024,Z07,1196,Florida,/cbb/schools/florida/men/2024.html
2024,Z08,1304,Nebraska,/cbb/schools/nebraska/men/2024.html
2024,Z09,1401,Texas A&M,/cbb/schools/texas-am/men/2024.html
2024,Z10a,1129,Boise St,/cbb/schools/boise-state/men/2024.html
2024,Z10,1160,Colorado,/cbb/schools/colorado/men/2024.html
2024,Z11,1301,NC State,/cbb/schools/north-carolina-state/men/2024.html
2024,Z12,1241,James Madison,/cbb/schools/james-madison/men/2024.html
2024,Z13,1436,Vermont,/cbb/schools/vermont/men/2024.html
2024,Z14,1324,Oakland,/cbb/schools/oakland/men/2024.html
2024,Z15,1443,WKU,/cbb/schools/western-kentucky/men/2024.html
2024,Z16,1255,Longwood,/cbb/schools/longwood/men/2024.html